"question","pprom_pre","pprom_post","hiv_pre","hiv_post","rfm_pre","rfm_post","hbsag_pre","hbsag_post","rh_pre","rh_post","teen_pre","teen_post","pt_pre","pt_post"
"Q 1","44.7","57.7","58.3","85.8","73.2","69.6","64.2","80.6","81.6","88.5","81.9","88.2","91.7","93.7"
"Q 2","75.7","79.3","92.8","96.0","92.2","95.9","94.9","95.9","66.1","75.0","88.9","94.3","80.2","89.6"
"Q 3","92.1","95.5","65.5","81.4","81.5","86.5","92.9","95.3","91.1","94.3","90.1","95.1","89.7","94.4"
"Q 4","40.5","61.3","81.1","88.2","91.4","94.7","92.1","94.7","89.9","95.2","86.2","94.7","86.2","91.2"
"Q 5","41.9","46.4","93.8","95.6","86.9","92.9","93.2","97.4","68.8","79.9","75.8","84.8","87.1","93.4"
"Q 6","75.0","87.7","92.8","95.9","91.2","94.6","86.8","95.3","92.6","95.3","63.4","68.2","51.0","60.6"
"Q 7","81.1","93.5","26.9","46.9","79.4","88.6","88.9","91.4","91.1","95.0","75.7","90.1","88.7","92.1"
"Q 8","94.4","96.2","93.1","95.7","71.3","81.5","94.5","96.7","69.3","81.6","19.0","44.2","86.3","93.0"
"Q 9","83.4","88.8","43.5","46.9","0.0","0.0","87.2","90.6","88.8","93.3","87.9","92.3","88.1","92.3"
"Q 10","86.2","92.0","76.9","84.7","0.0","0.0","74.0","84.6","75.1","86.9","81.5","90.0","72.5","86.2"
