"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct"
"Alluri Sitaram Raju","ane",6.8,1.9,68,7.3,1.8,73.5
"Alluri Sitaram Raju","aph",8,1.7,79.6,8.5,1.5,84.9
"Alluri Sitaram Raju","epi",6.4,1.5,63.8,6.6,1.7,65.9
"Alluri Sitaram Raju","gdm",4.5,1.5,44.9,5.6,1.5,56.3
"Alluri Sitaram Raju","htn",7.5,1.6,75.1,7.7,1.6,77
"Alluri Sitaram Raju","qanc",7.2,1.4,72.1,8,1.4,80.4
"Kurnool","ane",7.5,1.6,74.9,8.5,1.3,85.1
"Kurnool","aph",8.4,1.4,84.2,9.1,1.1,90.7
"Kurnool","epi",6.6,1.4,65.7,7.6,1.4,75.6
"Kurnool","gdm",5.3,1.4,52.7,7,1.6,69.9
"Kurnool","htn",8,1.5,80.1,8.7,1.1,87.2
"Kurnool","qanc",7.4,1.4,73.8,8.9,1.1,88.9
"Parvatipuram Manyam","ane",7.5,1.8,75.2,8.1,1.5,81
"Parvatipuram Manyam","aph",8.4,1.3,84.1,8.7,1.2,87.5
"Parvatipuram Manyam","epi",6.6,1.5,65.5,6.9,1.4,69.2
"Parvatipuram Manyam","gdm",5.2,1.5,52,5.9,1.6,59.4
"Parvatipuram Manyam","htn",7.9,1.6,78.7,8.3,1.5,82.7
"Parvatipuram Manyam","qanc",7.5,1.3,75.3,8.1,1.3,80.6
"Prakasam","ane",7.8,1.6,77.7,8.1,1.6,80.7
"Prakasam","aph",8,1.5,80.5,8.6,1.4,86.3
"Prakasam","epi",6.7,1.6,67,7,1.6,69.7
"Prakasam","gdm",5,1.6,50.1,5.9,1.6,59.1
"Prakasam","htn",8.4,1.4,83.5,8.7,1.3,86.5
"Prakasam","qanc",7.4,1.5,74.3,8.3,1.3,82.9
"Srikakulam","ane",7.4,1.7,73.6,8.3,1.4,82.5
"Srikakulam","aph",8.2,1.5,81.6,8.9,1.2,88.5
"Srikakulam","epi",6.2,1.6,62,7.3,1.6,72.7
"Srikakulam","gdm",5.1,1.5,51.1,6.6,1.5,65.5
"Srikakulam","htn",7.6,1.5,75.9,8.4,1.3,83.9
"Srikakulam","qanc",7.4,1.4,74.2,8.7,1.2,87.3
NA,"",NA,NA,NA,NA,NA,NA
"Overall Average","",NA,NA,NA,NA,NA,NA
"Overall Average","ane",7.4,1.7,74.2,8.1,1.6,81.3
"Overall Average","aph",8.2,1.5,82.1,8.8,1.3,88.1
"Overall Average","epi",6.5,1.5,64.8,7.2,1.6,71.6
"Overall Average","gdm",5.1,1.5,50.9,6.3,1.6,63.4
"Overall Average","htn",7.9,1.5,78.9,8.4,1.4,84.2
"Overall Average","qanc",7.4,1.4,73.9,8.5,1.3,84.9
